sku,name,brand,category,image_url,note
4063,Akron 4063,Toris,Table Top Basin,,
4064,Fenta 4064,Toris,Table Top Basin,,
4065,Tiago 4065,Toris,Table Top Basin,,
4066,Mozio 4066,Toris,Table Top Basin,,
4067,Fusion 4067,Toris,Table Top Basin,,
4068,Benz 4068,Toris,Table Top Basin,,
4069,Toby 4069,Toris,Table Top Basin,,
4070,Tennis B 4070,Toris,Table Top Basin,,
4071,Jolly 4071,Toris,Table Top Basin,,
4072,Tony 4072,Toris,Table Top Basin,,
4073,Talent 4073,Toris,Table Top Basin,,
4074,Mini Tailor 4074,Toris,Table Top Basin,,
4075,Toronto 4075,Toris,Table Top Basin,,
4076,Torque 4076,Toris,Table Top Basin,,
4077,Tiny 4077,Toris,Table Top Basin,,
4078,Alpha 4078,Toris,Table Top Basin,,
4079,Alvin 4079,Toris,Table Top Basin,,
4080,Alex 4080,Toris,Table Top Basin,,
4081,Toy 4081,Toris,Table Top Basin,,
4082,Jenny A 4082,Toris,Table Top Basin,,
4083,Jenny B 4083,Toris,Table Top Basin,,
4084,Armani 4084,Toris,Table Top Basin,,
4085,Angel 4085,Toris,Table Top Basin,,
4086,Truman 4086,Toris,Table Top Basin,,
4087,Arrow 4087,Toris,Table Top Basin,,
4088,Abroad 4088,Toris,Table Top Basin,,
4089,Troop A 4089,Toris,Table Top Basin,,
4090,Troop B 4090,Toris,Table Top Basin,,
4091,Troop C 4091,Toris,Table Top Basin,,
4092,Troop D 4092,Toris,Table Top Basin,,
9001,Imperia 9001,Toris,Urinal,,
9002,Iris 9002,Toris,Urinal,,
9003,Itzel 9003,Toris,Urinal,,
9004,Idea 9004,Toris,Urinal,,
9005,Itcos 9005,Toris,Urinal,,
9006,Icon 9006,Toris,Urinal,,
9007,Indigo 9007,Toris,Urinal,,
9008,Island 9008,Toris,Urinal,,
8001,Rocket 8001,Toris,Wall Hung Basin,,
8002,Rich 8002,Toris,Wall Hung Basin,,
8003,Rare 8003,Toris,Wall Hung Basin,,
8004,Rotto 8004,Toris,Wall Hung Basin,,
8005,Radius 8005,Toris,Wall Hung Basin,,
8006,Rio 8006,Toris,Wall Hung Basin,,
8007,Texas 8007,Toris,Wall Hung Basin,,
8008,Astron 8008,Toris,Wall Hung Basin,,
8009,Rodeo 8009,Toris,Wall Hung Basin,,
8010,Helix 8010,Toris,Wall Hung Basin,,
8011,Royal 8011,Toris,Wall Hung Basin,,
8012,Ruby 8012,Toris,Wall Hung Basin,,
8013,Allen 8013,Toris,Wall Hung Basin,,
8014,Ryzen 8014,Toris,Wall Hung Basin,,
8015,Rambler 8015,Toris,Wall Hung Basin,,
8016,Run 8016,Toris,Wall Hung Basin,,
8017,Decor 8017,Toris,Wall Hung Basin,,
8018,Rust 8018,Toris,Wall Hung Basin,,
8019,Rainbow 8019,Toris,Wall Hung Basin,,
8020,Think 8020,Toris,Wall Hung Basin,,
8021,Range 8021,Toris,Wall Hung Basin,,
8022,Mini Taj 8022,Toris,Wall Hung Basin,,
8023,Tycoon 8023,Toris,Wall Hung Basin,,
8024,Rapid 8024,Toris,Wall Hung Basin,,
8025,Lily 8025,Toris,Wall Hung Basin,,
8026,Prime 8026,Toris,Wall Hung Basin,,
8027,Topaz 8027,Toris,Wall Hung Basin,,
8028,Theory C 8028,Toris,Wall Hung Basin,,
8029,Twist 8029,Toris,Wall Hung Basin,,
8030,Prime Plus 8030,Toris,Wall Hung Basin,,
8031,Rival 8031,Toris,Wall Hung Basin,,
8032,Theo 8032,Toris,Wall Hung Basin,,
8033,Amaze 8033,Toris,Wall Hung Basin,,
8034,Vito 8034,Toris,Wall Hung Basin,,
8035,Tara 8035,Toris,Wall Hung Basin,,
8036,Taylor 8036,Toris,Wall Hung Basin,,
8037,Rock 8037,Toris,Wall Hung Basin,,
8038,Rush 8038,Toris,Wall Hung Basin,,
8039,Titan 8039,Toris,Wall Hung Basin,,
8040,Thunder 8040,Toris,Wall Hung Basin,,
8041,Toyesh 8041,Toris,Wall Hung Basin,,
8042,Rover 8042,Toris,Wall Hung Basin,,
8043,Aroma 8043,Toris,Wall Hung Basin,,
8044,Titus 8044,Toris,Wall Hung Basin,,
8045,Art 8045,Toris,Wall Hung Basin,,
8046,Troy 8046,Toris,Wall Hung Basin,,
8047,Rally 8047,Toris,Wall Hung Basin,,
8048,Trust 8048,Toris,Wall Hung Basin,,
8049,Axis 8049,Toris,Wall Hung Basin,,
8050,Resso 8050,Toris,Wall Hung Basin,,
2001,Scala 2001,Toris,Wall Hung Closet,,
2002,Sydney 2002,Toris,Wall Hung Closet,,
2003,Silver 2003,Toris,Wall Hung Closet,,
2004,Spark 2004,Toris,Wall Hung Closet,,
2005,Sweden 2005,Toris,Wall Hung Closet,,
2006,Spiral 2006,Toris,Wall Hung Closet,,
2007,Zeta 2007,Toris,Wall Hung Closet,,
2008,Stalon 2008,Toris,Wall Hung Closet,,
2009,Sword 2009,Toris,Wall Hung Closet,,
2010,Summer 2010,Toris,Wall Hung Closet,,
2011,Studio 2011,Toris,Wall Hung Closet,,
2012,Salvia 2012,Toris,Wall Hung Closet,,
2013,Sam 2013,Toris,Wall Hung Closet,,
2014,Soul 2014,Toris,Wall Hung Closet,,
2015,Soccer 2015,Toris,Wall Hung Closet,,
2016,Skoda 2016,Toris,Wall Hung Closet,,
2017,Squat 2017,Toris,Wall Hung Closet,,
2018,Sunny 2018,Toris,Wall Hung Closet,,
2019,Snow 2019,Toris,Wall Hung Closet,,
2020,Smart 2020,Toris,Wall Hung Closet,,
2021,Shark 2021,Toris,Wall Hung Closet,,
2022,Spirit 2022,Toris,Wall Hung Closet,,
2023,Sigma 2023,Toris,Wall Hung Closet,,
2024,Smoke 2024,Toris,Wall Hung Closet,,
2025,Elegant 2025,Toris,Wall Hung Closet,,
2026,Star 2026,Toris,Wall Hung Closet,,
2027,Silk 2027,Toris,Wall Hung Closet,,
2028,Satin 2028,Toris,Wall Hung Closet,,
2029,Sun 2029,Toris,Wall Hung Closet,,
2030,Style Rimless 2030,Toris,Wall Hung Closet,,
2031,Style 2031,Toris,Wall Hung Closet,,
2032,Stone 2032,Toris,Wall Hung Closet,,
2033,Santa 2033,Toris,Wall Hung Closet,,
2034,Simon 2034,Toris,Wall Hung Closet,,
2035,Sand 2035,Toris,Wall Hung Closet,,
2036,Simple 2036,Toris,Wall Hung Closet,,
6051,Lavish 6051,Toris,Wall Integrated Wash Basin,,
6052,Rollence 6052,Toris,Wall Integrated Wash Basin,,
6053,Axel 6053,Toris,Wall Integrated Wash Basin,,
6054,Roger 6054,Toris,Wall Integrated Wash Basin,,
6055,Real 6055,Toris,Wall Integrated Wash Basin,,
6056,Raven 6056,Toris,Wall Integrated Wash Basin,,
6057,Ross 6057,Toris,Wall Integrated Wash Basin,,
6058,Roman 6058,Toris,Wall Integrated Wash Basin,,
6059,Rikon 6059,Toris,Wall Integrated Wash Basin,,
7001,Rick 7001,Toris,Wash Basin With Full Pedestal,,
7002,Regaltos 7002,Toris,Wash Basin With Full Pedestal,,
7003,Regalia 7003,Toris,Wash Basin With Full Pedestal,,
7004,Roy 7004,Toris,Wash Basin With Full Pedestal,,
7005,Rich 7005,Toris,Wash Basin With Full Pedestal,,
7006,Rare 7006,Toris,Wash Basin With Full Pedestal,,
7007,Rotto 7007,Toris,Wash Basin With Full Pedestal,,
7008,Radius 7008,Toris,Wash Basin With Full Pedestal,,
7009,Range 7009,Toris,Wash Basin With Full Pedestal,,
7010,Rust 7010,Toris,Wash Basin With Full Pedestal,,
7051,Regalia 7051,Toris,Wash Basin With Half Pedestal,,
7052,Regata 7052,Toris,Wash Basin With Half Pedestal,,
7053,Rich 7053,Toris,Wash Basin With Half Pedestal,,
7054,Ryzen 7054,Toris,Wash Basin With Half Pedestal,,
7055,Range 7055,Toris,Wash Basin With Half Pedestal,,
7056,Rival 7056,Toris,Wash Basin With Half Pedestal,,
7057,Rento 7057,Toris,Wash Basin With Half Pedestal,,
3001,Strike 3001,Toris,Water Closet,,
3002,Sicasa 3002,Toris,Water Closet,,
3003,Selfie 3003,Toris,Water Closet,,
3004,Super 3004,Toris,Water Closet,,
3005,Solid 3005,Toris,Water Closet,,
3006,Spring 3006,Toris,Water Closet,,
3007,Spice 3007,Toris,Water Closet,,
3008,Saint 3008,Toris,Water Closet,,
3009,Concealed 3009,Toris,Water Closet,,
3010,Shine S 3010,Toris,Water Closet,,
3011,Shine P 3011,Toris,Water Closet,,
3012,EWC S 3012,Toris,Water Closet,,
3013,EWC P 3013,Toris,Water Closet,,
3014,Anglo S 3014,Toris,Water Closet,,
3015,Anglo P 3015,Toris,Water Closet,,
MS-CEI-001,High Speed Ceiling Fan 1200mm,Usha,Ceiling Fans,,
MS-TAB-001,Table Fan 400mm,Usha,Table & Wall Fans,,
